66.3 100 200 300 400 
66.4 100 200 300 400 
66.5 100 200 300 400 
66.6 100 200 300 400 
66.7 100 200 300 400 
66.8 100 200 300 400 
66.9 100 200 300 400 
67 100 200 300 400 
67.1 100 200 300 400 
67.2 100 200 300 400 
67.3 100 200 300 400 
67.4 100 200 300 400 
67.5 100 200 300 400 
67.6 100 200 300 400 
67.7 100 200 300 400 
67.8 100 200 300 400 
67.9 100 200 300 400 
68 100 200 300 400 
68.1 100 200 300 400 
68.2 100 200 300 400 
68.3 100 200 300 400 
68.4 100 200 300 400 
68.5 100 200 300 400 
68.6 100 200 300 400 
68.7 100 200 300 400 
68.8 100 200 300 400 
68.9 100 200 300 400 
69 100 200 300 400 
69.1 100 200 300 400 
69.2 100 200 300 400 
69.3 100 200 300 400 
69.4 100 200 300 400 
69.5 100 200 300 400 
69.6 100 200 300 400 
69.7 100 200 300 400 
69.8 100 200 300 400 
69.9 100 200 300 400 
70 100 200 300 400 
70.1 100 200 300 400 
70.2 100 200 300 400 
70.3 100 200 300 400 
70.4 100 200 300 400 
70.5 100 200 300 400 
70.6 100 200 300 400 
70.7 100 200 300 400 
70.8 100 200 300 400 
70.9 100 200 300 400 
71 100 200 300 400 
71.1 100 200 300 400 
71.2 100 200 300 400 
71.3 100 200 300 400 
71.4 100 200 300 400 
71.5 100 200 300 400 
71.6 100 200 300 400 
71.7 100 200 300 400 
71.8 100 200 300 400 
71.9 100 200 300 400 
72 100 200 300 400 
72.1 100 200 300 400 
72.2 100 200 300 400 
72.3 100 200 300 400 
72.4 100 200 300 400 
72.5 100 200 300 400 
72.6 100 200 300 400 
72.7 100 200 300 400 
72.8 100 200 300 400 
72.9 100 200 300 400 
73 100 200 300 400 
73.1 100 200 300 400 
73.2 100 200 300 400 
73.3 100 200 300 400 
73.4 100 200 300 400 
73.5 100 200 300 400 
73.6 100 200 300 400 
73.7 100 200 300 400 
73.8 100 200 300 400 
73.9 100 200 300 400 
74 100 200 300 400 
74.1 100 200 300 400 
74.2 100 200 300 400 
74.3 100 200 300 400 
74.4 100 200 300 400 
74.5 100 200 300 400 
74.6 100 200 300 400 
74.7 100 200 300 400 
74.8 100 200 300 400 
74.9 100 200 300 400 
75 100 200 300 400 
75.1 100 200 300 400 
75.2 100 200 300 400 
75.3 100 200 300 400 
75.4 100 200 300 400 
75.5 100 200 300 400 
75.6 100 200 300 400 
75.7 100 200 300 400 
75.8 100 200 300 400 
75.9 100 200 300 400 
76 100 200 300 400 
76.1 100 200 300 400 
76.2 100 200 300 400 
76.3 100 200 300 400 
76.4 100 200 300 400 
76.5 100 200 300 400 
76.6 100 200 300 400 
76.7 100 200 300 400 
76.8 100 200 300 400 
76.9 100 200 300 400 
77 100 200 300 400 
77.1 100 200 300 400 
77.2 100 200 300 400 
77.3 100 200 300 400 
77.4 100 200 300 400 
77.5 100 200 300 400 
77.6 100 200 300 400 
77.7 100 200 300 400 
77.8 100 200 300 400 
77.9 100 200 300 400 
78 100 200 300 400 
78.1 100 200 300 400 
78.2 100 200 300 400 
78.3 100 200 300 400 
78.4 100 200 300 400 
78.5 100 200 300 400 
78.6 100 200 300 400 
78.7 100 200 300 400 
78.8 100 200 300 400 
78.9 100 200 300 400 
79 100 200 300 400 
79.1 100 200 300 400 
79.2 100 200 300 400 
79.3 100 200 300 400 
79.4 100 200 300 400 
79.5 100 200 300 400 
79.6 100 200 300 400 
79.7 100 200 300 400 
79.8 100 200 300 400 
79.9 100 200 300 400 
80 100 200 300 400 
80.1 100 200 300 400 
80.2 100 200 300 400 
80.3 100 200 300 400 
80.4 100 200 300 400 
80.5 100 200 300 400 
80.6 100 200 300 400 
80.7 100 200 300 400 
80.8 100 200 300 400 
80.9 100 200 300 400 
81 100 200 300 400 
81.1 100 200 300 400 
81.2 100 200 300 400 
81.3 100 200 300 400 
81.4 100 200 300 400 
81.5 100 200 300 400 
81.6 100 200 300 400 
81.7 100 200 300 400 
81.8 100 200 300 400 
81.9 100 200 300 400 
82 100 200 300 400 
82.1 100 200 300 400 
82.2 100 200 300 400 
82.3 100 200 300 400 
82.4 100 200 300 400 
82.5 100 200 300 400 
82.6 100 200 300 400 
82.7 100 200 300 400 
82.8 100 200 300 400 
82.9 100 200 300 400 
83 100 200 300 400 
83.1 100 200 300 400 
83.2 100 200 300 400 
83.3 100 200 300 400 
83.4 100 200 300 400 
83.5 100 200 300 400 
83.6 100 200 300 400 
83.7 100 200 300 400 
83.8 100 200 300 400 
83.9 100 200 300 400 
84 100 200 300 400 
84.1 100 200 300 400 
84.2 100 200 300 400 
84.3 100 200 300 400 
84.4 100 200 300 400 
84.5 100 200 300 400 
84.6 100 200 300 400 
84.7 100 200 300 400 
84.8 100 200 300 400 
84.9 100 200 300 400 
85 100 200 300 400 
85.1 100 200 300 400 
85.2 100 200 300 400 
85.3 100 200 300 400 
85.4 100 200 300 400 
85.5 100 200 300 400 
85.6 100 200 300 400 
85.7 100 200 300 400 
85.8 100 200 300 400 
85.9 100 200 300 400 
86 100 200 300 400 
86.1 100 200 300 400 
86.2 100 200 300 400 
86.3 100 200 300 400 
86.4 100 200 300 400 
86.5 100 200 300 400 
86.6 100 200 300 400 
86.7 100 200 300 400 
86.8 100 200 300 400 
86.9 100 200 300 400 
87 100 200 300 400 
87.1 100 200 300 400 
87.2 100 200 300 400 
87.3 100 200 300 400 
87.4 100 200 300 400 
87.5 100 200 300 400 
87.6 100 200 300 400 
87.7 100 200 300 400 
87.8 100 200 300 400 
87.9 100 200 300 400 
88 100 200 300 400 
88.1 100 200 300 400 
88.2 100 200 300 400 
88.3 100 200 300 400 
88.4 100 200 300 400 
88.5 100 200 300 400 
88.6 100 200 300 400 
88.7 100 200 300 400 
88.8 100 200 300 400 
88.9 100 200 300 400 
89 100 200 300 400 
89.1 100 200 300 400 
89.2 100 200 300 400 
89.3 100 200 300 400 
89.4 100 200 300 400 
89.5 100 200 300 400 
89.6 100 200 300 400 
89.7 100 200 300 400 
89.8 100 200 300 400 
89.9 100 200 300 400 
90 100 200 300 400 
90.1 100 200 300 400 
90.2 100 200 300 400 
90.3 100 200 300 400 
90.4 100 200 300 400 
90.5 100 200 300 400 
90.6 100 200 300 400 
90.7 100 200 300 400 
90.8 100 200 300 400 
90.9 100 200 300 400 
91 100 200 300 400 
91.1 100 200 300 400 
91.2 100 200 300 400 
91.3 100 200 300 400 
91.4 100 200 300 400 
91.5 100 200 300 400 
91.6 100 200 300 400 
91.7 100 200 300 400 
91.8 100 200 300 400 
91.9 100 200 300 400 
92 100 200 300 400 
92.1 100 200 300 400 
92.2 100 200 300 400 
92.3 100 200 300 400 
92.4 100 200 300 400 
92.5 100 200 300 400 
92.6 100 200 300 400 
92.7 100 200 300 400 
92.8 100 200 300 400 
92.9 100 200 300 400 
93 100 200 300 400 
93.1 100 200 300 400 
93.2 100 200 300 400 
93.3 100 200 300 400 
93.4 100 200 300 400 
93.5 100 200 300 400 
93.6 100 200 300 400 
93.7 100 200 300 400 
93.8 100 200 300 400 
