timestamp Sensor_01 Sensor_02 Cluster_02
114.9000000000 0.1467658816 0.8532341184 1.0000000000
115.0000000000 0.1467658816 0.8532341184 1.0000000000
115.1000000000 0.1467658816 0.8532341184 1.0000000000
115.2000000000 0.1467658816 0.8532341184 1.0000000000
115.3000000000 0.1467658816 0.8532341184 1.0000000000
115.4000000000 0.1467658816 0.8532341184 1.0000000000
115.5000000000 0.1467658816 0.8532341184 1.0000000000
115.6000000000 0.1467658816 0.8532341184 1.0000000000
115.7000000000 0.1467658816 0.8532341184 1.0000000000
115.8000000000 0.1467658816 0.8532341184 1.0000000000
115.9000000000 0.1467658816 0.8532341184 1.0000000000
116.0000000000 0.1467658816 0.8532341184 1.0000000000
116.1000000000 0.1467658816 0.8532341184 1.0000000000
116.2000000000 0.1467658816 0.8532341184 1.0000000000
116.3000000000 0.1467658816 0.8532341184 1.0000000000
116.4000000000 0.1467658816 0.8532341184 1.0000000000
116.5000000000 0.1467658816 0.8532341184 1.0000000000
116.6000000000 0.1467658816 0.8532341184 1.0000000000
116.7000000000 0.1467658816 0.8532341184 1.0000000000
116.8000000000 0.1467658816 0.8532341184 1.0000000000
116.9000000000 0.1467658816 0.8532341184 1.0000000000
117.0000000000 0.1467658816 0.8532341184 1.0000000000
117.1000000000 0.1467658816 0.8532341184 1.0000000000
117.2000000000 0.1467658816 0.8532341184 1.0000000000
117.3000000000 0.1467658816 0.8532341184 1.0000000000
117.4000000000 0.1467658816 0.8532341184 1.0000000000
117.5000000000 0.1467658816 0.8532341184 1.0000000000
117.6000000000 0.1467658816 0.8532341184 1.0000000000
117.7000000000 0.1467658816 0.8532341184 1.0000000000
117.8000000000 0.1467658816 0.8532341184 1.0000000000
117.9000000000 0.1467658816 0.8532341184 1.0000000000
118.0000000000 0.1467658816 0.8532341184 1.0000000000
118.1000000000 0.1467658816 0.8532341184 1.0000000000
118.2000000000 0.1467658816 0.8532341184 1.0000000000
118.3000000000 0.1467658816 0.8532341184 1.0000000000
118.4000000000 0.1467658816 0.8532341184 1.0000000000
118.5000000000 0.1467658816 0.8532341184 1.0000000000
118.6000000000 0.1467658816 0.8532341184 1.0000000000
118.7000000000 0.1467658816 0.8532341184 1.0000000000
118.8000000000 0.1469247934 0.5649664096 0.7118912030
118.9000000000 0.1480873787 0.0000000000 0.1480873787
119.0000000000 0.1488270307 0.0000000000 0.1488270307
119.1000000000 0.1495717427 0.0000000000 0.1495717427
119.2000000000 0.1503210525 0.0000000000 0.1503210525
119.3000000000 0.1510744464 0.0000000000 0.1510744464
119.4000000000 0.1518314917 0.0000000000 0.1518314917
119.5000000000 0.1525924551 0.0000000000 0.1525924551
119.6000000000 0.1533571061 0.0000000000 0.1533571061
